loss,mean_squared_error,val_loss,val_mean_squared_error
0.007842849008738995,0.006854773964732885,0.008468148298561573,0.008329265750944614
0.00690446188673377,0.006782872136682272,0.007841583341360092,0.007722899783402681
0.006818867288529873,0.006718344055116177,0.007876339368522167,0.0077642761170864105
0.006804205011576414,0.00670665455982089,0.007760921958833933,0.0076850177720189095
0.006779312621802092,0.006685980129987001,0.007837716490030289,0.0077491458505392075
0.00676277931779623,0.006669388152658939,0.0076297069899737835,0.0075215622782707214
0.0067656817846000195,0.006671004928648472,0.007663318887352943,0.007575455121695995
0.006730416789650917,0.006622712127864361,0.007787332870066166,0.00768626481294632
0.006758867762982845,0.0066474732011556625,0.007638934999704361,0.007538235280662775
0.006709659937769175,0.006589673459529877,0.007708174642175436,0.007592394482344389
