loss,mean_squared_error,val_loss,val_mean_squared_error
0.009399606846272945,0.0067968061193823814,0.008317345753312111,0.007912645116448402
0.00690053217113018,0.006656746380031109,0.007770049851387739,0.007605400402098894
0.006836684420704842,0.006694572512060404,0.007969199679791927,0.007836787961423397
0.006811703555285931,0.0066931601613759995,0.00798350665718317,0.00786805059760809
0.006728150881826878,0.006618706975132227,0.007661981042474508,0.00755956070497632
0.006758144125342369,0.006652951706200838,0.008001841604709625,0.00788821466267109
0.0067022438161075115,0.006596224848181009,0.007732546888291836,0.007625725120306015
0.006698131561279297,0.0065941582433879375,0.007663913536816835,0.007562221027910709
0.006696819793432951,0.006589038297533989,0.0076792980544269085,0.007570240646600723
0.006683574989438057,0.00657026469707489,0.007671892177313566,0.007545233238488436
